        m,                       p[1]
 1.00e+00,        -9.899004858409e-01
 2.00e+00,        -4.659996208992e-04
 3.00e+00,        -1.372981077092e-07
 4.00e+00,        +1.659552380230e-05
 5.00e+00,        -3.206616541508e-07
 6.00e+00,        -5.676711921248e-06
