        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +4.457422214585e+00,        +1.169350463980e-04,        +1.905939388328e+04,        +4.146813220600e-13,        +7.690302491364e-08
 2.00e+00,        +6.562868066143e+00,        +1.688757508293e-04,        +1.943105518728e+04,        +2.128797346793e-13,        +3.947874421237e-08
 3.00e+00,        +1.820494604011e+01,        +4.704334543974e-04,        +1.934911928140e+04,        +3.647457475842e-12,        +6.764255542496e-07
 4.00e+00,        +1.973997642687e+01,        +5.084839396170e-04,        +1.941061938779e+04,        +9.351044142392e-13,        +1.734163453043e-07
 5.00e+00,        +3.146967548163e+01,        +8.173849341764e-04,        +1.925021747798e+04,        +6.322445350401e-12,        +1.172510089065e-06
 6.00e+00,        +3.287423418821e+01,        +8.463306111142e-04,        +1.942162658859e+04,        +8.403063489308e-13,        +1.558365723099e-07
