        i,                C[i][1] (F),                C[i][2] (F),                C[i][3] (F)
 1.00e+00,        +1.107092418304e-13,        -4.262233125864e-14,        -1.352753986695e-14
 2.00e+00,        -4.262233125864e-14,        +1.038633467088e-13,        -1.351485188520e-15
 3.00e+00,        -1.352753986695e-14,        -1.351485188520e-15,        +2.795796012355e-14
