        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +3.720600144876e+00,        +5.883581850079e-08,        +3.161849566881e+07,        +5.078440639310e-17,        +1.616435126517e-11
 2.00e+00,        +3.920281938702e+01,        +3.303559445360e-07,        +5.933421213606e+07,        +1.375382068222e-09,        +4.377780485816e-04
 3.00e+00,        +4.256320417675e+01,        +2.573347568365e-06,        +8.270006877424e+06,        +8.700589609851e-08,        +2.769362447876e-02
